dataset,split,id,text,hard_label,soft_label_0,soft_label_1,annotator,annotator_label,num_annotations
HS-Brexit,train,1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0,1.0,0.0,Ann1,0,6
HS-Brexit,train,1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0,1.0,0.0,Ann2,0,6
HS-Brexit,train,1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0,1.0,0.0,Ann3,0,6
HS-Brexit,train,1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0,1.0,0.0,Ann4,0,6
HS-Brexit,train,1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0,1.0,0.0,Ann5,0,6
HS-Brexit,train,1,"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0,1.0,0.0,Ann6,0,6
HS-Brexit,train,2,RT <user>: There was more to #Brexit than immigration ugghhh,0,1.0,0.0,Ann1,0,6
HS-Brexit,train,2,RT <user>: There was more to #Brexit than immigration ugghhh,0,1.0,0.0,Ann2,0,6
HS-Brexit,train,2,RT <user>: There was more to #Brexit than immigration ugghhh,0,1.0,0.0,Ann3,0,6
HS-Brexit,train,2,RT <user>: There was more to #Brexit than immigration ugghhh,0,1.0,0.0,Ann4,0,6
HS-Brexit,train,2,RT <user>: There was more to #Brexit than immigration ugghhh,0,1.0,0.0,Ann5,0,6
HS-Brexit,train,2,RT <user>: There was more to #Brexit than immigration ugghhh,0,1.0,0.0,Ann6,0,6
HS-Brexit,train,3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0,1.0,0.0,Ann1,0,6
HS-Brexit,train,3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0,1.0,0.0,Ann2,0,6
HS-Brexit,train,3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0,1.0,0.0,Ann3,0,6
HS-Brexit,train,3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0,1.0,0.0,Ann4,0,6
HS-Brexit,train,3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0,1.0,0.0,Ann5,0,6
HS-Brexit,train,3,"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0,1.0,0.0,Ann6,0,6
HS-Brexit,train,4,So the reducing migration thing wasn't quite what it seemed either? <url>,0,1.0,0.0,Ann1,0,6
HS-Brexit,train,4,So the reducing migration thing wasn't quite what it seemed either? <url>,0,1.0,0.0,Ann2,0,6
HS-Brexit,train,4,So the reducing migration thing wasn't quite what it seemed either? <url>,0,1.0,0.0,Ann3,0,6
HS-Brexit,train,4,So the reducing migration thing wasn't quite what it seemed either? <url>,0,1.0,0.0,Ann4,0,6
HS-Brexit,train,4,So the reducing migration thing wasn't quite what it seemed either? <url>,0,1.0,0.0,Ann5,0,6
HS-Brexit,train,4,So the reducing migration thing wasn't quite what it seemed either? <url>,0,1.0,0.0,Ann6,0,6
HS-Brexit,train,5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0,1.0,0.0,Ann1,0,6
HS-Brexit,train,5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0,1.0,0.0,Ann2,0,6
HS-Brexit,train,5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0,1.0,0.0,Ann3,0,6
HS-Brexit,train,5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0,1.0,0.0,Ann4,0,6
HS-Brexit,train,5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0,1.0,0.0,Ann5,0,6
HS-Brexit,train,5,A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0,1.0,0.0,Ann6,0,6
HS-Brexit,train,6,RT <user>: Islam has no place in Europe #Brexit <url>,1,0.5,0.5,Ann1,1,6
HS-Brexit,train,6,RT <user>: Islam has no place in Europe #Brexit <url>,1,0.5,0.5,Ann2,0,6
HS-Brexit,train,6,RT <user>: Islam has no place in Europe #Brexit <url>,1,0.5,0.5,Ann3,1,6
HS-Brexit,train,6,RT <user>: Islam has no place in Europe #Brexit <url>,1,0.5,0.5,Ann4,0,6
HS-Brexit,train,6,RT <user>: Islam has no place in Europe #Brexit <url>,1,0.5,0.5,Ann5,0,6
HS-Brexit,train,6,RT <user>: Islam has no place in Europe #Brexit <url>,1,0.5,0.5,Ann6,1,6
HS-Brexit,train,7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0,1.0,0.0,Ann1,0,6
HS-Brexit,train,7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0,1.0,0.0,Ann2,0,6
HS-Brexit,train,7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0,1.0,0.0,Ann3,0,6
HS-Brexit,train,7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0,1.0,0.0,Ann4,0,6
HS-Brexit,train,7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0,1.0,0.0,Ann5,0,6
HS-Brexit,train,7,"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0,1.0,0.0,Ann6,0,6
HS-Brexit,train,8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0,1.0,0.0,Ann1,0,6
HS-Brexit,train,8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0,1.0,0.0,Ann2,0,6
HS-Brexit,train,8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0,1.0,0.0,Ann3,0,6
HS-Brexit,train,8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0,1.0,0.0,Ann4,0,6
HS-Brexit,train,8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0,1.0,0.0,Ann5,0,6
HS-Brexit,train,8,I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0,1.0,0.0,Ann6,0,6
HS-Brexit,train,9,#brexiteers duped... immigration won't end... they say now... <url>,0,0.83,0.17,Ann1,0,6
HS-Brexit,train,9,#brexiteers duped... immigration won't end... they say now... <url>,0,0.83,0.17,Ann2,0,6
HS-Brexit,train,9,#brexiteers duped... immigration won't end... they say now... <url>,0,0.83,0.17,Ann3,0,6
HS-Brexit,train,9,#brexiteers duped... immigration won't end... they say now... <url>,0,0.83,0.17,Ann4,0,6
HS-Brexit,train,9,#brexiteers duped... immigration won't end... they say now... <url>,0,0.83,0.17,Ann5,1,6
HS-Brexit,train,9,#brexiteers duped... immigration won't end... they say now... <url>,0,0.83,0.17,Ann6,0,6
HS-Brexit,train,10,England need Foreign players looool #Brexit,0,1.0,0.0,Ann1,0,6
HS-Brexit,train,10,England need Foreign players looool #Brexit,0,1.0,0.0,Ann2,0,6
HS-Brexit,train,10,England need Foreign players looool #Brexit,0,1.0,0.0,Ann3,0,6
HS-Brexit,train,10,England need Foreign players looool #Brexit,0,1.0,0.0,Ann4,0,6
HS-Brexit,train,10,England need Foreign players looool #Brexit,0,1.0,0.0,Ann5,0,6
HS-Brexit,train,10,England need Foreign players looool #Brexit,0,1.0,0.0,Ann6,0,6
HS-Brexit,train,11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0,1.0,0.0,Ann1,0,6
HS-Brexit,train,11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0,1.0,0.0,Ann2,0,6
HS-Brexit,train,11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0,1.0,0.0,Ann3,0,6
HS-Brexit,train,11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0,1.0,0.0,Ann4,0,6
HS-Brexit,train,11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0,1.0,0.0,Ann5,0,6
HS-Brexit,train,11,"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0,1.0,0.0,Ann6,0,6
HS-Brexit,train,12,#brexit is going to effect other countries economically and they are most likely going to pass laws against the refugees that come in from,0,1.0,0.0,Ann1,0,6
HS-Brexit,train,12,#brexit is going to effect other countries economically and they are most likely going to pass laws against the refugees that come in from,0,1.0,0.0,Ann2,0,6
HS-Brexit,train,12,#brexit is going to effect other countries economically and they are most likely going to pass laws against the refugees that come in from,0,1.0,0.0,Ann3,0,6
