dataset,split,id,text,hard_label,soft_label_0,soft_label_1,annotator,annotator_label,num_annotations
ArMIS,train,1,النسويه يعني نصير رجل قولتك وبعدين اذا الوحده تبا تسرح وتمرح لازم تكون رجال,0,1.0,0.0,Ann1,0,3
ArMIS,train,1,النسويه يعني نصير رجل قولتك وبعدين اذا الوحده تبا تسرح وتمرح لازم تكون رجال,0,1.0,0.0,Ann2,0,3
ArMIS,train,1,النسويه يعني نصير رجل قولتك وبعدين اذا الوحده تبا تسرح وتمرح لازم تكون رجال,0,1.0,0.0,Ann3,0,3
ArMIS,train,2,هراء النسويات عمان والمتستر بتضخيم حالات العنف صدفة سلسلة حلقة بدأتها المنظمات الغربية اليسارية ... تقرير قناة الألمانية تدعم تخلف نسويات عمان ... عمان حاليا أصبحت هدف للمنظمات الغربية اليسارية,1,0.33,0.67,Ann1,1,3
ArMIS,train,2,هراء النسويات عمان والمتستر بتضخيم حالات العنف صدفة سلسلة حلقة بدأتها المنظمات الغربية اليسارية ... تقرير قناة الألمانية تدعم تخلف نسويات عمان ... عمان حاليا أصبحت هدف للمنظمات الغربية اليسارية,1,0.33,0.67,Ann2,0,3
ArMIS,train,2,هراء النسويات عمان والمتستر بتضخيم حالات العنف صدفة سلسلة حلقة بدأتها المنظمات الغربية اليسارية ... تقرير قناة الألمانية تدعم تخلف نسويات عمان ... عمان حاليا أصبحت هدف للمنظمات الغربية اليسارية,1,0.33,0.67,Ann3,1,3
ArMIS,train,3,بسبب انتشار الفكر النسوي القد ودعوة النسويات الانحلال والتبرج والسفور والعهر والرذيله والفواحش والتمرد والخروج والعمل المختلط ومزاحمة الشباب الطرقات والأزقة والمقاهي والمولات والأماكن العامة وهن عاريات سافرات منحلات جريئات يبدين زينتهن لكل ودب,1,0.0,1.0,Ann1,1,3
ArMIS,train,3,بسبب انتشار الفكر النسوي القد ودعوة النسويات الانحلال والتبرج والسفور والعهر والرذيله والفواحش والتمرد والخروج والعمل المختلط ومزاحمة الشباب الطرقات والأزقة والمقاهي والمولات والأماكن العامة وهن عاريات سافرات منحلات جريئات يبدين زينتهن لكل ودب,1,0.0,1.0,Ann2,1,3
ArMIS,train,3,بسبب انتشار الفكر النسوي القد ودعوة النسويات الانحلال والتبرج والسفور والعهر والرذيله والفواحش والتمرد والخروج والعمل المختلط ومزاحمة الشباب الطرقات والأزقة والمقاهي والمولات والأماكن العامة وهن عاريات سافرات منحلات جريئات يبدين زينتهن لكل ودب,1,0.0,1.0,Ann3,1,3
ArMIS,train,4,وقال تعالى الن الل احا الل تأملي هذة الأيه,0,1.0,0.0,Ann1,0,3
ArMIS,train,4,وقال تعالى الن الل احا الل تأملي هذة الأيه,0,1.0,0.0,Ann2,0,3
ArMIS,train,4,وقال تعالى الن الل احا الل تأملي هذة الأيه,0,1.0,0.0,Ann3,0,3
ArMIS,train,5,يعني السعوديات صايعات يتنقلو واحد للثاني,0,0.67,0.33,Ann1,0,3
ArMIS,train,5,يعني السعوديات صايعات يتنقلو واحد للثاني,0,0.67,0.33,Ann2,0,3
ArMIS,train,5,يعني السعوديات صايعات يتنقلو واحد للثاني,0,0.67,0.33,Ann3,1,3
ArMIS,train,6,ميقبلون سافرات بصورة عامة جامعات كربلاء لازم حجاب ولبس محتشم أبــد انصحج تداومين بكربلاء نجف,0,0.67,0.33,Ann1,0,3
ArMIS,train,6,ميقبلون سافرات بصورة عامة جامعات كربلاء لازم حجاب ولبس محتشم أبــد انصحج تداومين بكربلاء نجف,0,0.67,0.33,Ann2,0,3
ArMIS,train,6,ميقبلون سافرات بصورة عامة جامعات كربلاء لازم حجاب ولبس محتشم أبــد انصحج تداومين بكربلاء نجف,0,0.67,0.33,Ann3,1,3
ArMIS,train,7,ابلش بصياح الفسويات,1,0.33,0.67,Ann1,1,3
ArMIS,train,7,ابلش بصياح الفسويات,1,0.33,0.67,Ann2,0,3
ArMIS,train,7,ابلش بصياح الفسويات,1,0.33,0.67,Ann3,1,3
ArMIS,train,8,اجلد الفسويات والمتدثرات والمشهبات الرصاصيات امهات ركب سود حطبات جهنم ولاتبالي,1,0.0,1.0,Ann1,1,3
ArMIS,train,8,اجلد الفسويات والمتدثرات والمشهبات الرصاصيات امهات ركب سود حطبات جهنم ولاتبالي,1,0.0,1.0,Ann2,1,3
ArMIS,train,8,اجلد الفسويات والمتدثرات والمشهبات الرصاصيات امهات ركب سود حطبات جهنم ولاتبالي,1,0.0,1.0,Ann3,1,3
ArMIS,train,9,يوجد شخص خالط النساء فما بالك بعشرات النساء هاتفك حتما ستقع وستقع زنا الزنا اهون ادمان جنس مزي يجر الحياة يحطمك يلغيك يجعلك الهامش يدمر علاقتك الزوجية,1,0.0,1.0,Ann1,1,3
ArMIS,train,9,يوجد شخص خالط النساء فما بالك بعشرات النساء هاتفك حتما ستقع وستقع زنا الزنا اهون ادمان جنس مزي يجر الحياة يحطمك يلغيك يجعلك الهامش يدمر علاقتك الزوجية,1,0.0,1.0,Ann2,1,3
ArMIS,train,9,يوجد شخص خالط النساء فما بالك بعشرات النساء هاتفك حتما ستقع وستقع زنا الزنا اهون ادمان جنس مزي يجر الحياة يحطمك يلغيك يجعلك الهامش يدمر علاقتك الزوجية,1,0.0,1.0,Ann3,1,3
ArMIS,train,10,كلامعا وين الغلط ليش وقحات الفيمنيزيم انفلتوا هيك المرأه عمرها مارح تتساوى الرجل وعمرها مارح تنحط بنفس الكفه الرجل الله خلق المرأه لأشي معين والرجل لإشي معين والتنين بكملوا استغناء جنس معين فاهمه ليش مقرفات هيك شوفوا الريبلايز وهتعرفوا وقاحتهم,1,0.0,1.0,Ann1,1,3
ArMIS,train,10,كلامعا وين الغلط ليش وقحات الفيمنيزيم انفلتوا هيك المرأه عمرها مارح تتساوى الرجل وعمرها مارح تنحط بنفس الكفه الرجل الله خلق المرأه لأشي معين والرجل لإشي معين والتنين بكملوا استغناء جنس معين فاهمه ليش مقرفات هيك شوفوا الريبلايز وهتعرفوا وقاحتهم,1,0.0,1.0,Ann2,1,3
ArMIS,train,10,كلامعا وين الغلط ليش وقحات الفيمنيزيم انفلتوا هيك المرأه عمرها مارح تتساوى الرجل وعمرها مارح تنحط بنفس الكفه الرجل الله خلق المرأه لأشي معين والرجل لإشي معين والتنين بكملوا استغناء جنس معين فاهمه ليش مقرفات هيك شوفوا الريبلايز وهتعرفوا وقاحتهم,1,0.0,1.0,Ann3,1,3
