dataset,split,id,text,hard_label,soft_label_0,soft_label_1,annotator,annotator_label,num_annotations
ConvAbuse,train,1,"{""prev_agent"": ""Please go on."", ""prev_user"": ""well, i have a eatproblem"", ""agent"": ""Can you elaborate on that?"", ""user"": ""yes""}",0,1.0,0.0,Ann2,1,3
ConvAbuse,train,1,"{""prev_agent"": ""Please go on."", ""prev_user"": ""well, i have a eatproblem"", ""agent"": ""Can you elaborate on that?"", ""user"": ""yes""}",0,1.0,0.0,Ann3,1,3
ConvAbuse,train,1,"{""prev_agent"": ""Please go on."", ""prev_user"": ""well, i have a eatproblem"", ""agent"": ""Can you elaborate on that?"", ""user"": ""yes""}",0,1.0,0.0,Ann7,1,3
ConvAbuse,train,2,"{""prev_agent"": ""How long have you been on the verge of suicide?"", ""prev_user"": ""since i was 10 years old"", ""agent"": ""Why do you tell me you were 10 years old just now?"", ""user"": ""were you not ten years old?""}",0,1.0,0.0,Ann3,1,3
ConvAbuse,train,2,"{""prev_agent"": ""How long have you been on the verge of suicide?"", ""prev_user"": ""since i was 10 years old"", ""agent"": ""Why do you tell me you were 10 years old just now?"", ""user"": ""were you not ten years old?""}",0,1.0,0.0,Ann7,1,3
ConvAbuse,train,2,"{""prev_agent"": ""How long have you been on the verge of suicide?"", ""prev_user"": ""since i was 10 years old"", ""agent"": ""Why do you tell me you were 10 years old just now?"", ""user"": ""were you not ten years old?""}",0,1.0,0.0,Ann8,1,3
ConvAbuse,train,3,"{""prev_agent"": ""You are being a bit negative."", ""prev_user"": ""I hate you"", ""agent"": ""Do you wish to hate me?"", ""user"": ""yea""}",0,0.5,0.5,Ann1,-1,2
ConvAbuse,train,3,"{""prev_agent"": ""You are being a bit negative."", ""prev_user"": ""I hate you"", ""agent"": ""Do you wish to hate me?"", ""user"": ""yea""}",0,0.5,0.5,Ann7,1,2
ConvAbuse,train,4,"{""prev_agent"": ""Will you be travelling in Economy Class?"", ""prev_user"": ""economy"", ""agent"": ""What city will you be flying from?"", ""user"": ""Ibadan""}",0,1.0,0.0,Ann3,1,2
ConvAbuse,train,4,"{""prev_agent"": ""Will you be travelling in Economy Class?"", ""prev_user"": ""economy"", ""agent"": ""What city will you be flying from?"", ""user"": ""Ibadan""}",0,1.0,0.0,Ann6,1,2
