dataset,split,id,hard_label,soft_label_0,soft_label_1,text,lang,annotators,anno_rank,anno_correct
ArMIS,train,1,0,1.0,0.0,النسويه يعني نصير رجل قولتك وبعدين اذا الوحده تبا تسرح وتمرح لازم تكون رجال,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,2,1,0.33,0.67,هراء النسويات عمان والمتستر بتضخيم حالات العنف صدفة سلسلة حلقة بدأتها المنظمات الغربية اليسارية ... تقرير قناة الألمانية تدعم تخلف نسويات عمان ... عمان حاليا أصبحت هدف للمنظمات الغربية اليسارية,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,3,1,0.0,1.0,بسبب انتشار الفكر النسوي القد ودعوة النسويات الانحلال والتبرج والسفور والعهر والرذيله والفواحش والتمرد والخروج والعمل المختلط ومزاحمة الشباب الطرقات والأزقة والمقاهي والمولات والأماكن العامة وهن عاريات سافرات منحلات جريئات يبدين زينتهن لكل ودب,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,4,0,1.0,0.0,وقال تعالى الن الل احا الل تأملي هذة الأيه,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,5,0,0.67,0.33,يعني السعوديات صايعات يتنقلو واحد للثاني,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,6,0,0.67,0.33,ميقبلون سافرات بصورة عامة جامعات كربلاء لازم حجاب ولبس محتشم أبــد انصحج تداومين بكربلاء نجف,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,7,1,0.33,0.67,ابلش بصياح الفسويات,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,8,1,0.0,1.0,اجلد الفسويات والمتدثرات والمشهبات الرصاصيات امهات ركب سود حطبات جهنم ولاتبالي,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,9,1,0.0,1.0,يوجد شخص خالط النساء فما بالك بعشرات النساء هاتفك حتما ستقع وستقع زنا الزنا اهون ادمان جنس مزي يجر الحياة يحطمك يلغيك يجعلك الهامش يدمر علاقتك الزوجية,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,10,1,0.0,1.0,كلامعا وين الغلط ليش وقحات الفيمنيزيم انفلتوا هيك المرأه عمرها مارح تتساوى الرجل وعمرها مارح تنحط بنفس الكفه الرجل الله خلق المرأه لأشي معين والرجل لإشي معين والتنين بكملوا استغناء جنس معين فاهمه ليش مقرفات هيك شوفوا الريبلايز وهتعرفوا وقاحتهم,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,11,0,1.0,0.0,الزواج التقليدي سبب عزوف اغلب الرجال النساء معا الحين صعب الواحد ياخذ براي امه لأن الأم معايير زواجها سمعة الزوج الزوجة الطيبة الناس اساسه تقرر الشي بنظر اغلبنا يدل انه الشخص المقدم الزواج تناسبني اخلاقياته معتقداته,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,12,1,0.0,1.0,تعددت الأسباب لايحقلك تبررين ابدا ... الحمدلله عافانا ابتلاهم والله يجبر قلب زوجها ... النساء وخصوصا الزمن يستحقون كلمة امي ... والبعض يبيلهم حرق,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,13,1,0.33,0.67,طلعو فاجرات الحلوات,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,14,1,0.33,0.67,فعلا ليه معصبين نسويات انتو عندكم أسمى مهنه بالحياة المراه شغلتها انها تتكاثر,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,15,0,1.0,0.0,النساء صاروا واليات حاكمات سفيرات ساتر تثقف دينك الملكة بلقيس ههه جهلة اخر زمن,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,16,0,0.67,0.33,لاحظت الذكورين بدؤوا ياخذون منحنى متشدد وتكفيري يارجل واحد المغردين المشهورين بذكوريته خلى السعوديات فاسقات الملتزمة يقول انها فاسقة ماتظهر فسقها أغلب الذكوريين يشوفون احصائيات اجنبية المرأة ويقيسون باقي نساء العالم وهذا خطأ فادح,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,17,1,0.33,0.67,فكره اللبنانيات اكثر نساء متسلطات أزواجهم ومتطلباتهم كثيره جدا ومسويات الزلم مكفخه تقبل تتزوج الا بيت وحدها أمه وياه تقبل يغرك الكلام المثالي المعسول,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,18,0,1.0,0.0,النساء والله تسوى رجال مشكلة الحرمه انها مهمشه زمن طويل الان تغير الوضع وصارت قياديه فكر ومال ومشوره,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,19,0,1.0,0.0,ناقصات عقل الدين عشان شهادة المحكمة الدورة اغلب اهل نار بسبب عدد اناث الارض اكثر اهل الجنة الجنة تحت ارجلنا احنا سبب ادخال اهالينا الجنة سواء امهات اطفال الموت تسوي شريف المصايب كلها جاية منكم الجنة محكورة عليكم فوق انك ناقص دين كمان,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,20,0,1.0,0.0,اعشق المرأة المتحررة واهوى ترويض جموحها,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
ArMIS,train,21,1,0.33,0.67,النسويه طائفه وحركه الحاديه اصلها الليبراليه اقرئي التاريخ,ar,"Ann1,Ann2,Ann3",0.9156323571673304,0.8863521055301877
