dataset,split,id,hard_label,soft_label_0,soft_label_1,text,lang,annotators,anno_rank,anno_correct
MD-Agreement,train,1,0,1.0,0.0,<user> <user> No way Jose!!,en,"Ann418,Ann266,Ann149,Ann730,Ann345",0.8466351718430575,0.8532750024094948
MD-Agreement,train,2,0,1.0,0.0,"Good god, what is the matter with people ?",en,"Ann733,Ann422,Ann779,Ann514,Ann777",0.8444903020724865,0.8453185412853953
MD-Agreement,train,3,0,0.8,0.2,<user> <user> <user> <user> Um the Kurds are helping the ppl Of the Ukraine stop Putin/Russian military from overthrowing the Ukrainian government. Trump Endangered the lives of many by cutting US aid in an effort to extort the Ukrainian president for help winning the election Which led to his impeachment .,en,"Ann425,Ann511,Ann779,Ann420,Ann721",0.8434602658856368,0.7995733693881502
MD-Agreement,train,4,0,1.0,0.0,What is WRONG with these people?,en,"Ann632,Ann179,Ann701,Ann201,Ann661",0.8563380927605404,0.8152931155596429
MD-Agreement,train,5,0,0.8,0.2,<user> This earpiece too plus a wire on his sleeves! #CheatingJoeBiden                    ANYONE want to take a stab at telling me what this is.....saw it last night but apparently James Woods saw it also....<url>,en,"Ann266,Ann168,Ann149,Ann381,Ann774",0.8450841177498948,0.8117668160869538
MD-Agreement,train,6,1,0.4,0.6,<user> <user> Please lost you yelling insanely at the sky on Nov 3 losers,en,"Ann517,Ann401,Ann149,Ann212,Ann779",0.8344936970953902,0.8126769386420353
MD-Agreement,train,7,0,1.0,0.0,Dang it!!,en,"Ann344,Ann811,Ann779,Ann610,Ann514",0.8486100447661421,0.7902517966739792
MD-Agreement,train,8,0,1.0,0.0,"<user> <user> <user> Just take the L g, or find better evidence",en,"Ann334,Ann811,Ann573,Ann569,Ann779",0.8491288914711719,0.82711331930289
MD-Agreement,train,9,0,0.6,0.4,Elections have consequences 101:  - Republican voters elected GOP US Senators to prevent leftwing fascists from subverting the SCOTUS;  - Republican voters elected GOP US Senators to put conservatives on the SCOTUS.  Vote <user>  #MAGA <user> <user> #KAG2020 <url>,en,"Ann149,Ann517,Ann266,Ann763,Ann730",0.8422697256442906,0.8230055657403982
MD-Agreement,train,10,0,1.0,0.0,<user> <user> I'm in the never catagory.,en,"Ann517,Ann739,Ann760,Ann81,Ann285",0.8405535481627033,0.8657307395345949
MD-Agreement,train,11,1,0.0,1.0,He’s an idiot... pure and simple. How sad for us!,en,"Ann779,Ann408,Ann283,Ann514,Ann206",0.8774904268519215,0.8169461322601809
MD-Agreement,train,12,0,1.0,0.0,"<user> <user> U.S. flu deaths 2015-16: 23,000 U.S. flu deaths 2016-17: 38,000 U.S. flu deaths 2017-18: 61,000 U.S. flu deaths 2018-19: 34,200 U.S. flu deaths 2019-20: 24,000  U.S. COVID deaths in 6 months: 167,000  The mask captures droplets, reducing transmission, lowering the disease's R0.",en,"Ann402,Ann435,Ann344,Ann136,Ann768",0.8352756767042486,0.7875338543196819
MD-Agreement,train,13,1,0.0,1.0,and y’all niggas wanna vaca to FL now of all times 🤣 y’all really just dumb,en,"Ann283,Ann517,Ann514,Ann206,Ann334",0.8555832023839104,0.8403289792023232
MD-Agreement,train,14,1,0.4,0.6,<user> You are a liar!!! #BidenCrimeFamilyExposed  Biden is a threat to national security!! #Trump2020 and #VoteRed2020ToSaveAmerica,en,"Ann743,Ann425,Ann779,Ann424,Ann573",0.818560321238777,0.8229052418869562
MD-Agreement,train,15,0,1.0,0.0,"<user> <user> Is it real but if its Waziristan,obviously soldiers must b dealing wid terrorists who kill our citizens &amp; soldiers ( as four PakArmy men hv been martyred even yesterday) There is no comparison of TTP /their abettors wid innocent unarmed Kashmiris or George Floyd  <user>",en,"Ann237,Ann582,Ann755,Ann455,Ann271",0.8966299011218428,0.8883357524898388
MD-Agreement,train,16,0,0.6,0.4,"The stupidity of Democrats &amp; so-called ""Liberals"" never ceases to amaze me......",en,"Ann632,Ann245,Ann800,Ann274,Ann292",0.9088053474057424,0.8382986020664356
MD-Agreement,train,17,0,1.0,0.0,"<user> If it’s for the people then nothing needs to be in it except for stimulus for the people, covid supplies and help for small businesses! Leave the other crap out of it! Not everyone gets unemployment so from April to Aug with no help is too long. 🇺🇸🇺🇸",en,"Ann57,Ann266,Ann779,Ann514,Ann777",0.8352023899845742,0.8256359026270751
MD-Agreement,train,18,0,1.0,0.0,Words fail me...this is awful..just awful #HeartBreaking #BlackLivesMatter #PoliceBrutality #PoliceViolence,en,"Ann632,Ann586,Ann241,Ann661,Ann171",0.8832845995518207,0.8656469646091441
MD-Agreement,train,19,0,1.0,0.0,He even admitted it!!  #voterfruad,en,"Ann763,Ann188,Ann88,Ann573,Ann730",0.843228677303159,0.8146895696556381
MD-Agreement,train,20,0,1.0,0.0,Twitter Slapped a 'Glorifying Violence' Label on a Trump Tweet That Threatened George Floyd Protesters in Minneapolis With Getting Shot <url>,en,"Ann443,Ann582,Ann797,Ann338,Ann708",0.9044036719993856,0.85805462822071
MD-Agreement,train,21,0,0.8,0.2,🔴WHY IS THE RIGHT ALWAYS SO DAMN WRONG⁉️ Bikers for Founder Says the Left 'Planned' the Coronavirus Pandemic to Hurt Trump <url>,en,"Ann448,Ann643,Ann189,Ann695,Ann771",0.7800540045766591,0.7611111111111112
MD-Agreement,train,22,0,1.0,0.0,"""Trump tweeted """"Stock Market starting to look very good to me!"""" a month after administration officials &amp; senators held a classified coronavirus briefing. It'd be nice to see his tax returns and learn whether he profited from inside info while telling Americans a rosier tale. <url>",en,"Ann779,Ann200,Ann582,Ann266,Ann74",0.8374458455189394,0.7980574619284296
MD-Agreement,train,23,0,0.8,0.2,<user> <user> shut up and let george floyd be buried in Peace,en,"Ann672,Ann731,Ann377,Ann719,Ann274",0.8848378878624915,0.8565590952433058
MD-Agreement,train,24,0,1.0,0.0,<user> Welcome to the white house Biden,en,"Ann238,Ann334,Ann81,Ann415,Ann779",0.8355037409845769,0.8294885512166618
MD-Agreement,train,25,0,1.0,0.0,"And now they ain’t talking the coronavirus, just like that 👀🤭",en,"Ann200,Ann268,Ann56,Ann768,Ann681",0.8338580129396111,0.8651372229832118
MD-Agreement,train,26,0,1.0,0.0,not people promoting their fancams under this... y’all are so rude,en,"Ann29,Ann396,Ann274,Ann292,Ann39",0.8928185970570673,0.8403375613428773
