dataset,split,id,hard_label,soft_label_0,soft_label_1,text,lang,annotators,anno_rank,anno_correct
ConvAbuse,train,1,0,1.0,0.0,"{""prev_agent"": ""Please go on."", ""prev_user"": ""well, i have a eatproblem"", ""agent"": ""Can you elaborate on that?"", ""user"": ""yes""}",en,"Ann2,Ann3,Ann7",0.7667900749202586,0.05196664383363714
ConvAbuse,train,2,0,1.0,0.0,"{""prev_agent"": ""How long have you been on the verge of suicide?"", ""prev_user"": ""since i was 10 years old"", ""agent"": ""Why do you tell me you were 10 years old just now?"", ""user"": ""were you not ten years old?""}",en,"Ann3,Ann7,Ann8",0.7598616435477096,0.06124188198219186
ConvAbuse,train,3,0,0.5,0.5,"{""prev_agent"": ""You are being a bit negative."", ""prev_user"": ""I hate you"", ""agent"": ""Do you wish to hate me?"", ""user"": ""yea""}",en,"Ann1,Ann7",0.780515429122469,0.04429870129870125
ConvAbuse,train,4,0,1.0,0.0,"{""prev_agent"": ""Will you be travelling in Economy Class?"", ""prev_user"": ""economy"", ""agent"": ""What city will you be flying from?"", ""user"": ""Ibadan""}",en,"Ann3,Ann6",0.755096153846154,0.052665518213922055
ConvAbuse,train,5,0,1.0,0.0,"{""prev_agent"": ""Will you be travelling in Economy Class?"", ""prev_user"": ""No"", ""agent"": ""What city will you be flying from?"", ""user"": ""Bangalore""}",en,"Ann1,Ann2,Ann3",0.8281719457013578,0.04083244469943797
ConvAbuse,train,6,0,1.0,0.0,"{""prev_agent"": ""Does it please you to believe I am being a bit fucking useless?"", ""prev_user"": ""yeah it makes me fucking ecstatic"", ""agent"": ""Can you elaborate on that?"", ""user"": ""why?""}",en,"Ann4,Ann6,Ann8",0.8317833333333335,0.049632139642552635
ConvAbuse,train,7,0,0.667,0.333,"{""prev_agent"": ""Do any other reasons not come to mind?"", ""prev_user"": ""I want to cum"", ""agent"": ""Why do you want to cum?"", ""user"": ""It feels good""}",en,"Ann2,Ann5,Ann7",0.8581202252297192,0.0825125828318264
ConvAbuse,train,8,0,1.0,0.0,"{""prev_agent"": ""I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?"", ""prev_user"": ""offsts"", ""agent"": ""I'm not sure about your departure airport. What city will you be flying from?"", ""user"": ""islamabad""}",en,"Ann2,Ann5,Ann6",0.8921393509127791,0.07826288439998079
ConvAbuse,train,9,0,1.0,0.0,"{""prev_agent"": ""Have you tried?"", ""prev_user"": ""yes."", ""agent"": ""You are sure?"", ""user"": ""boy""}",en,"Ann1,Ann4,Ann5,Ann8",0.892780248478702,0.06924021638463647
ConvAbuse,train,10,0,1.0,0.0,"{""prev_agent"": ""Does that question interest you?"", ""prev_user"": ""do you know Eminem?"", ""agent"": ""Does that question interest you?"", ""user"": ""i want to know some question about you ?""}",en,"Ann1,Ann4,Ann5",0.8998903313049359,0.07043845043845039
